Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
13.7.2021;9,912;9,922;9,90;9,988;9,856;9,932;9,936;1046897;10401399,8;3498
12.7.2021;9,84;9,846;9,818;9,872;9,69;9,87;9,811;1060169;10401598,81;3934
9.7.2021;9,80;9,808;9,666;9,832;9,666;9,818;9,783;1043315;10205651,6;3765
8.7.2021;9,64;9,644;9,934;9,942;9,544;9,65;9,691;1574024;15255119,82;6297
7.7.2021;9,928;9,936;9,878;10,035;9,868;9,95;9,958;1159144;11543815,19;3576
6.7.2021;9,81;9,82;9,988;10,15;9,81;9,83;9,915;1265331;12549166,58;3573
5.7.2021;10,01;10,02;9,90;10,065;9,826;10,02;9,994;825157;8246611,74;2585
2.7.2021;9,836;9,84;9,88;9,942;9,774;9,838;9,861;1042820;10278278,98;4262
1.7.2021;9,834;9,844;9,84;10,005;9,804;9,852;9,871;973787;9613085,06;3610
30.6.2021;9,802;9,81;9,824;9,87;9,598;9,796;9,751;1432318;13965083,28;4577
29.6.2021;9,822;9,83;9,668;9,882;9,628;9,84;9,818;1070246;10507375,9;3655
28.6.2021;9,65;9,654;9,50;9,756;9,40;9,67;9,654;1534046;14811386,8;3588
24.6.2021;9,622;9,626;9,58;9,80;9,534;9,606;9,64;1320243;12728409,98;4280
23.6.2021;9,56;9,564;9,50;9,634;9,43;9,556;9,537;1322800;12612019,83;3624
22.6.2021;9,488;9,496;9,308;9,506;9,182;9,488;9,415;1852510;17436786,99;3882
21.6.2021;9,30;9,306;9,25;9,386;9,06;9,308;9,253;1907126;17645787,48;5445
18.6.2021;9,264;9,272;9,54;9,68;9,238;9,30;9,332;6557609;61208519,7;9608
17.6.2021;9,542;9,548;9,878;9,90;9,532;9,536;9,645;2332649;22501711,18;6813
16.6.2021;9,90;9,908;9,98;10,03;9,824;9,92;9,903;1201554;11897895,82;3959
15.6.2021;9,94;9,95;10,10;10,21;9,914;9,946;10,022;1955520;19599140,97;4585
14.6.2021;10,005;10,01;10,145;10,225;9,928;10,02;10,013;1902440;19047791,96;3578
11.6.2021;10,15;10,16;9,938;10,29;9,914;10,145;10,125;2002643;20274823,13;4766
10.6.2021;9,928;9,934;9,994;10,01;9,894;9,934;9,937;1182971;11754663,15;2983
9.6.2021;10,00;10,01;10,06;10,12;9,908;9,98;9,98;1399465;13966793,88;4299
8.6.2021;10,035;10,045;9,968;10,13;9,906;10,06;10,039;1051052;10551358,88;3014
7.6.2021;9,954;9,962;9,984;10,115;9,92;9,968;10,008;1213665;12149738,24;2842
4.6.2021;9,976;9,984;9,954;10,035;9,862;9,982;9,958;1136176;11313427,63;4593
3.6.2021;9,934;9,94;10,06;10,10;9,87;9,966;9,961;1682677;16759448,32;4499
2.6.2021;10,055;10,07;9,912;10,07;9,844;10,05;9,977;1478864;14753354,6;3739
1.6.2021;9,912;9,924;9,702;10,025;9,698;9,934;9,943;1358714;13511314,48;3595
31.5.2021;9,728;9,732;9,724;9,804;9,606;9,702;9,723;1157377;11254319,3;2845
28.5.2021;9,74;9,746;9,80;9,89;9,61;9,734;9,717;1691512;16435392,06;4525
27.5.2021;9,80;9,81;9,414;9,83;9,372;9,798;9,737;2682627;26121117,04;6751
26.5.2021;9,42;9,43;9,42;9,454;9,342;9,418;9,406;1473495;13859184,18;5065
25.5.2021;9,436;9,44;9,42;9,48;9,376;9,42;9,431;1206864;11381348,72;4685
